,Districts,Count
661,East Uttar Pradesh,6
662,Budgam,5
663,Purbi Singhbhum,5
664,Bardhaman,5
665,Hugli,5
666,Agar Malwa,5
667,Burdwan,5
668,Jiribam,5
669,Kanpur,5
670,Khunti,5
671,Uttar Bastar Kanker,5
672,West Jaintia Hills,5
673,South West Khasi Hills,5
674,Leh,5
675,Lohardaga,5
676,East Jaintia Hills,5
677,Most of the districts,5
678,Mahabubabad,5
679,Singrauli,5
680,Noney,5
681,Gumla,5
682,Anuppur,5
683,Bagalkote Belgaum,5
684,Deoghar,4
685,Siddipet,4
686,Parts of Meghalaya,4
687,Tengnoupal,4
688,Kanniyak,4
689,Balia,4
690,Chikkaballapurau,4
691,Alipurduar,4
692,Pashchimi Singhbhum,4
693,Sahibganj,4
694,North Bengal,4
695,Goa,4
696,Dumka,4
697,Kangpokpi,4
698,Kashmir Valley,4
699,Haora,4
700,Bengaluru Rural Urban,4
701,Churachandpur,4
702,Chandel,4
703,Ukhrul,4
704,Mahaboobnagar,4
705,Kakching,4
706,Senapati,4
707,Pherzawl,4
708,Kamjong,4
709,Mulugu,4
710,Giridih,4
711,Janjgir - Champa,4
712,Parts of Sikkim,4
713,Raigad,4
714,Mahasamund,4
715,Bagalkot,3
716,Peren,3
717,Pak,3
718,Lahaul & Spiti,3
719,Parts of Uttarakhand,3
720,Dhanbad,3
721,Bagalkote Bangalore,3
722,Jagdalpur,3
723,Jalore,3
724,Sangali,3
725,Sundergarh,3
726,Dhamtari,3
727,Korba,3
728,Jaintia Hills,3
729,Palgarh,3
730,Nabarangapur,3
731,Dimapur,3
732,Niwari,3
733,Kumuram Bheem Kumuram Bheem Asifabad,3
734,Rajanna Sircilla,3
735,Jogulamba Gadwal,3
736,Bhadradri Kothagudem,3
737,Medchal Malkajgiri,3
738,Pakur,3
739,Jamtara,3
740,Uttar Kashi,3
741,Pithorgarh,3
742,Sidhi,3
743,Kabeerdham,2
744,Peddapalli,2
745,Unakoti,2
746,Many parts of the State,2
747,Nirmal,2
748,Many districts of Tamil Nadu.,2
749,Tirupur,2
750,Kamareddy,2
751,Northern parts,2
752,Uttar,2
753,Nagarkurnool,2
754,Kumool,2
755,Sahibzada Ajit Singh Nag*,2
756,Mancherial,2
757,Siliguri,2
758,Chamarajanagara Hassan,2
759,Southern parts,2
760,Parts of Himachal Pradesh,2
761,Parts of Maharashtra,2
762,Bametara,2
763,Dantewada,2
764,Kalimpong,2
765,Fatepur,2
766,Hazaribagh,2
767,Many districts of Uttar Pradesh,2
768,Kodarma,2
769,Marathwada,2
770,Simdega,2
771,Saraikela-kharsawan,2
772,Parts of Uttar Pradesh,2
773,Latehar,2
774,Yadadri Bhuvanagiri,2
775,Wanaparthy,2
776,Suryapet,2
777,Narayanpur,2
778,SiddharthnagarNagar,2
779,East district,2
780,Dibang Valley,2
781,Silchar,2
782,Chingleput,2
783,East & West Godavari,2
784,& Parts of Himachal Pradesh,2
785,Dadra & Nagar Haveli,2
786,Kashmir,2
787,North  & Middle Andaman,2
788,Chittaurgarh,2
789,Bhuvanagiri,2
790,Phek,2
791,Malapuram,2
792,Dangs,2
793,Wokha,2
794,Zunheboto,2
795,Sahebganj,2
796,Parts of Karnataka,2
797,Ananthapur,2
798,Karaikal,2
799,Tripura,2
800,Kiphire,2
801,Dibang valley,2
802,Mungeli,2
803,Parts of West Bengal,2
804,neighbourhood,2
805,Shillong,2
806,Jajpur,2
807,Ranagareddy,1
808,Udalguri.,1
809,South Andaman,1
810,Devbhumi,1
811,East Singhbhum,1
812,Udaiur,1
813,Parts of Lahul & Spitti,1
814,Hilly areas,1
815,Kasragod,1
816,Reode,1
817,Darjilingm,1
818,Badaun,1
819,Urban,1
820,Yadadri,1
821,Hasan,1
822,Rugi,1
823,Golpara,1
824,Kendrapada,1
825,Santal Pargan,1
826,Nayapara,1
827,Taran-Taran,1
828,26 districts of Rajasthan,1
829,Parts of Rajasthan,1
830,Thrissur district,1
831,Chamarajanagara Gadag,1
832,Parts of Jharkhand,1
833,Rural,1
834,Gadchiroli Yavotmal,1
835,Mon,1
836,Alipurdusar,1
837,Bhadradri,1
838,Murshhidabad,1
839,Parts of Nagaland,1
840,Hyderabad & Parts of Telangana,1
841,Parts of Andhra Pradesh,1
842,Kokrajhar Darrang,1
843,DavanagereÂ,1
844,Rangareddi,1
845,Kumuram Bheem Asifabad,1
846,several other district (Andhra Pradesh),1
847,Farrukabad,1
848,Sukma,1
849,Balod,1
850,The The Dangs,1
851,Chamarajanagar,1
852,& various parts of Nagaland,1
853,Bhubaneshwar,1
854,Koriya,1
855,Raibareilly,1
856,Chamarajanagara Chitradurga,1
857,Akharpur,1
858,Ramghah,1
859,Baloda Bazar,1
860,Bagalkote Ballari,1
861,Nagarkoil,1
862,Shrawasti & Parts of East U.P.,1
863,Sindgudurg,1
864,Parts of Telangana,1
865,Unnan,1
866,hrawasti,1
867,Siddharthnagar,1
868,Central Part of Uttar Pradesh,1
869,South South Salmara Mancachar - Mankachar,1
870,Chamarajanagara  Kalaburagi,1
871,Chapakile;Kangra,1
872,Bagalkote Udupi,1
873,Tirunelveli,1
874,Kanpur-Dehat,1
875,South South Salmara Mancachar- Mankachar,1
876,Purba MedinipurKendujhar,1
877,Many parts of Tamil Nadu.,1
878,Some districts of Punjab,1
879,Different parts of Jammu,1
880,Monghy,1
881,Yanam,1
882,Mahe,1
883,Sawai madhopur,1
884,Naigonda,1
885,Jagitial,1
886,Jangoan,1
887,Jashpur,1
888,Alawar,1
889,Uttara,1
890,Bareily,1
891,14 districts,1
892,11 districts,1
893,Most parts,1
894,6 districts,1
895,Nagapattnam,1
896,Ernakulam ant Thiruvananthapuram,1
897,Palampur,1
898,adjoining areas,1
899,East Kameng,1
900,Medinapur,1
901,Sivasagar amd Sonitpur,1
902,Muktsar,1
903,Khurja,1
904,Mokokchung,1
905,Tuensang,1
906,Bijapur Surendranagar,1
907,Kohlapur,1
908,3 out of 8 districts,1
909,Dholpur,1
910,nalbari,1
911,Jhalwar,1
912,Ghat area,1
913,Singhbhum,1
914,Kashmir valley,1
915,Jhelum,1
916,South Kashmir,1
917,South Assam,1
918,Mumbai (Colaba),1
919,29 districts affected,1
920,South Gujarat,1
921,Bhadrachalam,1
922,Greater Kolkata area,1
923,Chota Nagpur,1
924,neighborhood,1
925,Alipur,1
926,Parts of Orissa,1
927,Longleng,1
928,Jodhpur & Nagaur,1
929,Ramagiri,1
930,Bareilli,1
931,Mangalbari,1
932,Janjgrir Champa,1
933,Midnapur,1
934,Parts of Jammu,1
935,Heavy rains Hazaribaghh,1
936,BagalkoteBijapur,1
937,19 districts of Orissa,1
938,Districts of Cauvery delta zone,1
939,Districts of Cauvery delta,1
940,Palnadu,1
941,NTR,1
942,Most Upper Subansiri,1
943,Prayagrajm,1
944,14 districts of Assam,1
945,Kollam Kozhikode,1
946,Kochi,1
947,coastal districts of Andhra Pradesh,1
948,Many districts of South Bengal,1
949,Malikkeri,1
950,Chhatisgarh,1
951,West Madhya Pradesh,1
952,Jawad,1
953,Tuticorin,1
954,21 districts of Assam,1
955,Jullundar,1
956,Baharich,1
957,Chumanung,1
958,East & West Purba Medinipur,1
959,Subansiri,1
960,Chamarajanagara Davanagere,1
961,Chikodi,1
962,Ernakulam Kannur,1
963,Bhandara Chandrapur,1
964,Mudigere,1
965,Shahajanpur,1
966,Rajghat,1
967,& Parts of Uttar Pradesh,1
